timestamp,tunnel_id,direction,lighting_zone,device_id,brightness,power,temperature,flicker_count,status
2024-01-01 14:00:00,T004,东向,入口区,L-301,160.5,420.3,25.0,0,normal
2024-01-01 14:05:00,T004,东向,入口区,L-302,,,24.5,,normal
2024-01-01 14:10:00,T004,东向,中部区,L-303,80.0,180.5,23.0,8,abnormal
2024-01-01 14:15:00,T004,东向,出口区,L-304,25.5,45.2,20.5,40,failure
2024-01-01 14:20:00,T004,西向,入口区,L-305,,380.0,24.0,,
2024-01-01 14:30:00,T005,东向,入口区,L-401,175.0,460.0,26.0,1,normal
2024-01-01 14:35:00,T005,东向,入口区,L-401,172.0,455.0,25.8,0,normal
2024-01-01 14:40:00,T005,东向,中部区,L-402,130.5,320.0,24.5,5,abnormal
2024-01-01 14:45:00,T005,东向,中部区,L-403,65.0,120.5,22.0,20,abnormal
2024-01-01 14:50:00,T005,西向,出口区,L-404,150.0,400.0,25.0,0,normal
2024-01-01 15:00:00,T006,东向,入口区,L-501,200.0,520.0,27.0,0,normal
2024-01-01 15:05:00,T006,东向,入口区,L-502,195.0,510.0,26.8,0,normal
2024-01-01 15:10:00,T006,东向,中部区,L-503,210.0,550.0,27.5,0,normal
2024-01-01 15:15:00,T006,东向,中部区,L-504,205.0,540.0,27.2,0,normal
2024-01-01 15:20:00,T006,东向,出口区,L-505,185.0,490.0,26.5,1,normal
2024-01-01 15:25:00,T006,东向,出口区,L-506,180.0,480.0,26.2,0,normal
2024-01-01 15:30:00,T006,西向,入口区,L-507,190.0,500.0,26.8,0,normal
2024-01-01 15:35:00,T006,西向,入口区,L-508,188.0,495.0,26.5,0,normal
2024-01-01 15:40:00,T006,西向,中部区,L-509,200.0,530.0,27.0,0,normal
2024-01-01 15:45:00,T006,西向,中部区,L-510,198.0,525.0,26.8,0,normal
2024-01-01 15:50:00,T006,西向,出口区,L-511,175.0,465.0,26.0,0,normal
2024-01-01 15:55:00,T006,西向,出口区,L-512,172.0,460.0,25.8,1,normal
