timestamp,tunnel_id,direction,lighting_zone,device_id,brightness,power,temperature,flicker_count,status
2024-01-01 08:00:00,T001,东向,入口区,L-001,180.5,450.2,25.3,0,normal
2024-01-01 08:05:00,T001,东向,入口区,L-002,175.0,440.5,24.8,1,normal
2024-01-01 08:10:00,T001,东向,中部区,L-003,200.3,520.1,26.1,0,normal
2024-01-01 08:15:00,T001,东向,中部区,L-004,195.8,510.3,25.9,0,normal
2024-01-01 08:20:00,T001,东向,出口区,L-005,160.2,420.7,24.5,2,normal
2024-01-01 08:25:00,T001,东向,出口区,L-006,45.6,80.3,22.1,35,failure
2024-01-01 08:30:00,T001,西向,入口区,L-007,170.0,430.8,25.0,0,normal
2024-01-01 08:35:00,T001,西向,入口区,L-008,165.5,425.2,24.7,0,normal
2024-01-01 08:40:00,T001,西向,中部区,L-009,190.2,495.6,25.8,1,normal
2024-01-01 08:45:00,T001,西向,中部区,L-010,85.3,150.2,23.5,15,abnormal
2024-01-01 08:50:00,T001,西向,出口区,L-011,155.8,410.5,24.2,0,normal
2024-01-01 08:55:00,T001,西向,出口区,L-012,150.0,400.8,24.0,1,normal
2024-01-01 09:00:00,T002,东向,入口区,L-101,210.5,550.3,27.0,0,normal
2024-01-01 09:05:00,T002,东向,入口区,L-102,205.0,540.1,26.8,0,normal
2024-01-01 09:10:00,T002,东向,中部区,L-103,220.8,580.7,27.5,0,normal
2024-01-01 09:15:00,T002,东向,中部区,L-104,215.5,570.2,27.2,0,normal
2024-01-01 09:20:00,T002,东向,出口区,L-105,195.3,505.6,26.3,1,normal
2024-01-01 09:25:00,T002,东向,出口区,L-106,190.0,490.0,26.0,0,normal
2024-01-01 09:30:00,T002,西向,入口区,L-107,200.5,520.8,26.5,0,normal
2024-01-01 09:35:00,T002,西向,入口区,L-108,195.8,510.3,26.2,0,normal
2024-01-01 09:40:00,T002,西向,中部区,L-109,120.5,280.2,24.8,8,abnormal
2024-01-01 09:45:00,T002,西向,中部区,L-110,30.2,50.5,21.0,42,failure
2024-01-01 09:50:00,T002,西向,出口区,L-111,185.0,480.6,25.8,0,normal
2024-01-01 09:55:00,T002,西向,出口区,L-112,180.5,470.2,25.5,1,normal
