记录ID,站点ID,站点名称,区域,部门,校准类型,校准日期,操作员,状态,是否合规,原因说明,时间窗口说明,分组维度说明,PM2.5(μg/m³),PM10(μg/m³),二氧化氮(μg/m³),二氧化硫(μg/m³),一氧化碳(mg/m³),臭氧(μg/m³),温度(℃),湿度(%),材料-校准证书,材料-维护日志,材料-流量记录,材料-标气记录,材料-零跨记录
REC-O-0003,ST004,西城区少年宫微站,西城区,设备运维科,季度校准,2026-05-01,陈工,超阈值,否,一氧化碳测量值 7.35mg/m³ 超过上限阈值 4.0mg/m³，超出比例 83.75%; 臭氧测量值 143.46μg/m³ 超过上限阈值 100.0μg/m³，超出比例 43.46%,"记录日期 2026-05-01 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 0 天，距窗口终点 30 天，窗口长度 7 天","分组维度[站点: 西城区少年宫微站(ST004), 区域: 西城区, 部门: 设备运维科]",20.56,15.01,9.74,27.84,7.35,143.46,13.58,45.79,是,是,是,是,是
REC-M-0003,ST008,海淀区美术馆微站,海淀区,设备运维科,日常巡检,2026-05-01,王工,材料缺失,否,缺少校准材料: 维护日志; 缺少校准材料: 标气记录,"记录日期 2026-05-01 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 0 天，距窗口终点 30 天，窗口长度 7 天","分组维度[站点: 海淀区美术馆微站(ST008), 区域: 海淀区, 部门: 设备运维科]",7.44,20.12,30.23,36.35,1.28,39.32,17.49,59.01,是,否,是,否,是
REC-O-0002,ST005,朝阳区博物馆微站,朝阳区,监测一科,年度校准,2026-05-02,王工,超阈值,否,PM10测量值 112.78μg/m³ 超过上限阈值 70.0μg/m³，超出比例 61.11%; 二氧化硫测量值 82.35μg/m³ 超过上限阈值 50.0μg/m³，超出比例 64.7%; 臭氧测量值 164.2μg/m³ 超过上限阈值 100.0μg/m³，超出比例 64.2%,"记录日期 2026-05-02 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 1 天，距窗口终点 29 天，窗口长度 7 天","分组维度[站点: 朝阳区博物馆微站(ST005), 区域: 朝阳区, 部门: 监测一科]",16.55,112.78,26.16,82.35,2.0,164.2,29.75,75.12,是,是,是,是,是
REC-X-0002,ST007,海淀区科技馆微站,海淀区,质量控制科,日常巡检,2026-05-03,李工,待审核,否,臭氧测量值 124.18μg/m³ 超过上限阈值 100.0μg/m³，超出比例 24.18%; 缺少校准材料: 流量记录; 缺少校准材料: 标气记录,"记录日期 2026-05-03 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 2 天，距窗口终点 28 天，窗口长度 7 天","分组维度[站点: 海淀区科技馆微站(ST007), 区域: 海淀区, 部门: 质量控制科]",15.58,39.25,27.15,37.7,2.07,124.18,10.22,32.83,是,是,否,否,是
REC-C-0010,ST006,朝阳区体育馆微站,朝阳区,监测二科,季度校准,2026-05-09,王工,合规,是,所有参数均在阈值范围内，校准材料齐全,"记录日期 2026-05-09 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 8 天，距窗口终点 22 天，窗口长度 7 天","分组维度[站点: 朝阳区体育馆微站(ST006), 区域: 朝阳区, 部门: 监测二科]",26.92,36.71,16.79,31.53,2.51,51.06,12.06,30.46,是,是,是,是,是
REC-C-0001,ST001,东城区第一小学微站,东城区,监测一科,临时校准,2026-05-10,陈工,合规,是,所有参数均在阈值范围内，校准材料齐全,"记录日期 2026-05-10 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 9 天，距窗口终点 21 天，窗口长度 7 天","分组维度[站点: 东城区第一小学微站(ST001), 区域: 东城区, 部门: 监测一科]",26.32,54.42,25.09,12.26,3.19,62.39,0.96,66.0,是,是,是,是,是
REC-C-0009,ST010,石景山区图书馆微站,石景山区,监测二科,日常巡检,2026-05-13,王工,合规,是,所有参数均在阈值范围内，校准材料齐全,"记录日期 2026-05-13 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 12 天，距窗口终点 18 天，窗口长度 7 天","分组维度[站点: 石景山区图书馆微站(ST010), 区域: 石景山区, 部门: 监测二科]",9.49,46.32,28.25,29.47,2.6,79.49,14.57,40.04,是,是,是,是,是
REC-C-0004,ST005,朝阳区博物馆微站,朝阳区,监测一科,季度校准,2026-05-16,李工,合规,是,所有参数均在阈值范围内，校准材料齐全,"记录日期 2026-05-16 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 15 天，距窗口终点 15 天，窗口长度 7 天","分组维度[站点: 朝阳区博物馆微站(ST005), 区域: 朝阳区, 部门: 监测一科]",12.76,47.95,25.23,14.26,2.89,72.02,2.66,36.31,是,是,是,是,是
REC-M-0001,ST002,东城区文化馆微站,东城区,监测二科,季度校准,2026-05-17,王工,材料缺失,否,缺少校准材料: 维护日志; 缺少校准材料: 流量记录,"记录日期 2026-05-17 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 16 天，距窗口终点 14 天，窗口长度 7 天","分组维度[站点: 东城区文化馆微站(ST002), 区域: 东城区, 部门: 监测二科]",16.12,42.0,15.38,11.08,1.07,59.97,6.7,54.12,是,否,否,是,是
REC-C-0005,ST002,东城区文化馆微站,东城区,监测二科,季度校准,2026-05-18,陈工,合规,是,所有参数均在阈值范围内，校准材料齐全,"记录日期 2026-05-18 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 17 天，距窗口终点 13 天，窗口长度 7 天","分组维度[站点: 东城区文化馆微站(ST002), 区域: 东城区, 部门: 监测二科]",11.97,26.59,26.98,15.89,1.55,39.4,20.1,67.68,是,是,是,是,是
REC-M-0002,ST009,丰台区文化中心微站,丰台区,监测一科,日常巡检,2026-05-19,陈工,材料缺失,否,缺少校准材料: 维护日志; 缺少校准材料: 流量记录,"记录日期 2026-05-19 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 18 天，距窗口终点 12 天，窗口长度 7 天","分组维度[站点: 丰台区文化中心微站(ST009), 区域: 丰台区, 部门: 监测一科]",23.13,17.36,22.43,24.02,2.65,25.69,11.25,55.44,是,否,否,是,是
