timestamp,level,module,message
2026-06-06 08:43:01,INFO,流程启动,水泥窑熟料质量分析开始
2026-06-06 08:43:01,INFO,字典加载,开始加载字典表: data/dictionary.csv
2026-06-06 08:43:01,INFO,字典加载,字典表加载完成，共 5 条熟料编号映射
2026-06-06 08:43:01,INFO,阈值加载,开始加载阈值规则: data/thresholds.json
2026-06-06 08:43:01,INFO,阈值加载,阈值规则加载完成，版本: 1.0，共 3 个品种规则
2026-06-06 08:43:01,INFO,数据加载,开始加载原始明细: tests/test_time_out_of_range.csv
2026-06-06 08:43:01,WARN,数据校验,第3行异常: 时间越界: 2026-05-28 12:00:00 (统计范围: 2026-06-01 00:00:00 ~ 2026-06-05 23:59:59)
2026-06-06 08:43:01,WARN,数据校验,第4行异常: 时间越界: 2026-05-30 16:00:00 (统计范围: 2026-06-01 00:00:00 ~ 2026-06-05 23:59:59)
2026-06-06 08:43:01,WARN,数据校验,第6行异常: 时间越界: 2026-06-10 08:00:00 (统计范围: 2026-06-01 00:00:00 ~ 2026-06-05 23:59:59)
2026-06-06 08:43:01,WARN,数据校验,第7行异常: 时间越界: 2026-06-15 12:00:00 (统计范围: 2026-06-01 00:00:00 ~ 2026-06-05 23:59:59)
2026-06-06 08:43:01,INFO,数据加载,数据加载完成，总计 6 条，有效 2 条，坏行 4 条
2026-06-06 08:43:01,INFO,异常检测,开始异常样本检测
2026-06-06 08:43:01,INFO,异常检测,异常检测完成，异常样本 1 条，其中预警 3 项，严重 0 项
2026-06-06 08:43:01,INFO,统计计算,"开始统计计算，周期: day，分组维度: kiln_id, clinker_code"
2026-06-06 08:43:01,INFO,统计计算,统计计算完成，1 个周期，1 个分组
2026-06-06 08:43:01,INFO,趋势分析,开始趋势摘要分析
2026-06-06 08:43:01,INFO,趋势分析,周期数不足2个，跳过环比趋势分析
2026-06-06 08:43:01,INFO,结果导出,开始导出结果文件
2026-06-06 08:43:01,INFO,结果导出,统计结果已导出: statistics_result.csv
2026-06-06 08:43:01,INFO,结果导出,异常样本已导出: abnormal_samples.csv (1 条)
2026-06-06 08:43:01,INFO,结果导出,坏行数据已导出: bad_rows.csv (4 条)
2026-06-06 08:43:01,INFO,结果导出,趋势摘要已导出: trend_summary.csv (0 个分组)
